username,article_id,round,visit_time,leave_time
b202100630041,154,3,2026-04-11 15:19:26.507000,2026-04-11 15:20:03.031000
b202100630041,157,7,2026-04-11 16:26:23.804000,2026-04-11 16:26:40.201000
b202100630238,2,2,2026-04-11 15:09:47.558000,2026-04-11 15:09:53.816000
b202100630238,7,3,2026-04-11 15:18:19.921000,2026-04-11 15:18:34.836000
b202100630238,1,3,2026-04-11 15:21:05.406000,2026-04-11 15:21:17.958000
b202100630238,154,5,2026-04-11 15:51:41.631000,2026-04-11 15:53:29.600000
b202100630238,157,7,2026-04-11 16:23:33.140000,2026-04-11 16:23:44.120000
b202100630238,160,7,2026-04-11 16:29:27.995000,2026-04-11 16:29:40.294000
b202300620004,11,2,2026-04-11 15:06:03.988000,2026-04-11 15:06:27.096000
b202300620004,10,2,2026-04-11 15:09:24.285000,2026-04-11 15:09:48.811000
b202300620004,12,2,2026-04-11 15:09:57.064000,2026-04-11 15:11:41.697000
b202300620274,22,2,2026-04-11 15:07:40.478000,2026-04-11 15:07:52.856000
b202300620274,126,2,2026-04-11 15:11:46.617000,2026-04-11 15:11:55.364000
b202300620274,141,3,2026-04-11 15:22:10.854000,2026-04-11 15:22:40.250000
b202300620274,141,3,2026-04-11 15:23:49.343000,2026-04-11 15:24:12.420000
b202300620274,148,4,2026-04-11 15:36:25.209000,2026-04-11 15:37:32.654000
b202300620274,152,5,2026-04-11 15:55:49.465000,2026-04-11 15:57:11.676000
b202300620274,141,6,2026-04-11 16:16:59.950000,2026-04-11 16:17:41.885000
b202300620274,156,7,2026-04-11 16:23:14.101000,2026-04-11 16:24:34.786000
b202300620274,157,8,2026-04-11 16:39:58.177000,2026-04-11 16:40:58.745000
b202300620274,154,9,2026-04-11 16:58:39.879000,2026-04-11 16:59:12.081000
b202300620274,157,9,2026-04-11 17:01:53.809000,2026-04-11 17:02:38.935000
b202300620355,1,2,2026-04-11 15:05:43.992000,2026-04-11 15:05:53.666000
b202300620355,23,4,2026-04-11 15:34:12.388000,2026-04-11 15:34:20.221000
b202300620355,78,4,2026-04-11 15:40:04.570000,2026-04-11 15:40:43.408000
b202300620355,154,4,2026-04-11 15:41:08.460000,2026-04-11 15:41:30.697000
