id,username,round,instruction
119,a202300800181,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
120,a202300800181,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
121,a202300800181,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
122,a202300800181,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
123,a202300800181,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
124,a202300800181,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
125,a202300800181,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
126,a202300800181,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
127,a202400620304,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
128,a202400620304,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
129,a202400620304,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
130,a202400620304,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
131,a202400620304,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
132,a202400620304,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
133,a202400620304,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
134,a202400620304,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
135,a202200700294,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
136,a202200700294,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
137,a202200700294,3,现在进入第3轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
138,a202200700294,4,现在进入第4轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
139,a202200700294,5,现在进入第5轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
140,a202200700294,6,现在进入第6轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
141,a202200700294,7,现在进入第7轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
142,a202200700294,8,现在进入第8轮（最后一轮）。本轮无需再做选品决策，请直接点击【我已完成决策】。
143,a202400820051,1,现在进入第1轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
144,a202400820051,2,现在进入第2轮。请先与AI智能选品系统 Intelliselect 沟通后再做决策。本轮决策时间为15分钟。
