seller_username,name,description,scores
a202100630079,a202100630079的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202100630097,a202100630097的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202200620382,a202200620382的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202200620479,a202200620479的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202200620513,a202200620513的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202200630005,a202200630005的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202200630092,a202200630092的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202200630199,a202200630199的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202200630267,a202200630267的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202200630270,a202200630270的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202200700051,a202200700051的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202200700294,a202200700294的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202200800063,a202200800063的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202200800529,泰选优品·ThaiSelect,专注于泰国精致日用品，给予您舒心的体验。,"[{""round"": 1, ""score"": 1.6666666666666667}, {""round"": 2, ""score"": 1.45}, {""round"": 3, ""score"": -9.0}, {""round"": 4, ""score"": -19.0}, {""round"": 5, ""score"": 17.5}, {""round"": 6, ""score"": 2.5}, {""round"": 7, ""score"": 3.0}, {""round"": 8, ""score"": -3.0}, {""round"": 9, ""score"": 12.0}]"
a202300620022,a202300620022的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
