id,seller_username,category_id_seller,category_id_buyer,quantity,status,round,offline_round
1199,b202300630176,845aa1cf19c94871bc199029287145fc,286118c38c6c4ea389c3ee0f2a55ef7f,1,UNPUBLISHED,3,4
1200,a202300630200,55c8375004114f2e928fb29ab678357c,185f40e7767b4f4c8bb52e385b9e079d,1,UNPUBLISHED,3,3
1201,a202300620157,55c8375004114f2e928fb29ab678357c,3eec871f63ec457a941537d46f4ffc08,1,UNPUBLISHED,3,3
1202,b202537671,4ada0e8cb9204cfaa18772ae36f9daef,f300257251814c51843445283f375b46,1,UNPUBLISHED,3,3
1203,a202500620315,216bc84c85774bdbbc6f5b0768d5be2f,558ca7e1b7d64f6081f8a1fbfafb3d6e,1,UNPUBLISHED,3,3
1204,b202400800323,764265ac9d8d441b90297252f4b163d8,a849aec6ba7142759c64c4cb184c0c26,1,UNPUBLISHED,3,4
1205,a202300630171,7bb3f879d5be42c9a5c5165846098e65,9a36b5d06b8c459d92478faee23225f7,1,UNPUBLISHED,3,4
1206,a202500620324,1758fcd2971245e785da52cb09f48979,92cd2ead54834db79a0a12784b5ea1c9,1,UNPUBLISHED,3,4
1207,b202400630111,612c30003f4f48e39eed819205302420,9f11a455fbfc4d11977cc6287ed5e5e3,1,UNPUBLISHED,3,3
1208,a202500620079,11432c3b9d1e44348c0b5f03083ddef8,ace8081802434786b4dac584a597aeab,1,UNPUBLISHED,3,4
1209,b202300630048,1e9ed02820f0474b9c610cbbb9cd7b4e,6458914dd2f8470ca391e8b1a012418d,1,UNPUBLISHED,3,4
1210,a202400810181,d28aadf8e0a5428c88793d151087a391,18010693918c419baff00366801ebf38,1,UNPUBLISHED,3,4
1211,b202537671,bbec9b95b3ee43beabc57bef8c4c1dbf,6d63eb5660594180b14deb0a4ee31a74,1,UNPUBLISHED,3,3
1212,b202537674,17931d24651047e68581c7bcf8157a93,d82d8317bece4b95b53a741fc412b579,1,UNPUBLISHED,3,4
1213,a202300620157,734537096263414fb51e14483020c983,237b1c334b9b41129cfbbc43fbdfc70b,1,UNPUBLISHED,3,3
1214,b202300630048,79dc1c738eca4636b249d2b2c0bc2055,0d1b66e90b3d40a2acc2d36caee2fc6f,1,UNPUBLISHED,3,3
1215,a202300800004,845aa1cf19c94871bc199029287145fc,9f6f81f5462c414387c1d3811f68e0a5,1,UNPUBLISHED,3,4
