id,level1_name,top_ratio,top_keyword_img
1,居家日用,30.32,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_10_2024-20-30_wordcloud.png
2,男装与男士内衣,29.55,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_3_2024-20-30_wordcloud.png
3,保健,35.91,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_25_2024-20-30_wordcloud.png
4,家装建材,32.73,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_22_2024-20-30_wordcloud.png
5,电脑办公,40.57,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_15_2024-20-30_wordcloud.png
6,母婴用品,31.70,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_18_2024-20-30_wordcloud.png
7,家纺布艺,42.20,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_12_2024-20-30_wordcloud.png
8,玩具和爱好,35.66,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_19_2024-20-30_wordcloud.png
9,五金工具,39.34,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_21_2024-20-30_wordcloud.png
10,宠物用品,38.57,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_17_2024-20-30_wordcloud.png
11,汽车与摩托车,34.63,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_23_2024-20-30_wordcloud.png
12,食品饮料,28.53,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_24_2024-20-30_wordcloud.png
13,图书&杂志&音频,42.46,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_26_2024-20-30_wordcloud.png
14,时尚配件,33.87,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_8_2024-20-30_wordcloud.png
15,箱包,31.26,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_7_2024-20-30_wordcloud.png
16,家电,41.48,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_13_2024-20-30_wordcloud.png
17,女装与女士内衣,26.45,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_2_2024-20-30_wordcloud.png
18,运动与户外,39.92,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_9_2024-20-30_wordcloud.png
19,家具,46.75,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_20_2024-20-30_wordcloud.png
20,厨房用品,32.10,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_11_2024-20-30_wordcloud.png
21,美妆个护,25.90,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_14_2024-20-30_wordcloud.png
22,穆斯林时尚,43.02,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_5_2024-20-30_wordcloud.png
23,手机与数码,32.56,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_16_2024-20-30_wordcloud.png
24,鞋靴,34.37,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_6_2024-20-30_wordcloud.png
25,儿童时尚,29.93,https://aivlml-cdn.glotrade.site/worldcloud/20_30w/TH_4_2024-20-30_wordcloud.png
